epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,228.609,0.54077,0.72964,0.45384,0.93804,0.64297,0.69376,0.66153,0.37867,0.56817,0.64653,0.59225,0.40305,1.50861,1.94706,1.74737,1.85966,0.000577782,0.000577782,0.000577782
68,231.933,0.53188,0.73986,0.45969,0.96689,0.60338,0.725,0.62049,0.37473,0.60338,0.725,0.62049,0.41919,1.44471,2.0012,1.72237,1.71555,0.000561279,0.000561279,0.000561279
69,235.352,0.50289,0.69457,0.42789,0.94201,0.70859,0.69124,0.67345,0.41906,0.70859,0.69124,0.67345,0.45727,1.43956,2.0741,1.7103,1.72076,0.000544776,0.000544776,0.000544776
70,239.36,0.53253,0.74544,0.44765,0.97602,0.56386,0.80984,0.64702,0.40471,0.56386,0.80984,0.64702,0.44382,1.38876,2.17695,1.64666,1.71019,0.000528272,0.000528272,0.000528272
71,244.329,0.45472,0.62531,0.38376,0.93837,0.62796,0.75,0.67697,0.44042,0.62796,0.75,0.67697,0.46557,1.22224,2.19027,1.63272,1.56228,0.000511769,0.000511769,0.000511769
72,249.31,0.51339,0.66341,0.4299,0.95833,0.60033,0.79079,0.74548,0.43641,0.60033,0.79079,0.74529,0.45746,1.25093,2.2821,1.53761,1.60864,0.000495266,0.000495266,0.000495266
73,254.001,0.54429,0.78133,0.42975,0.96039,0.59694,0.725,0.75351,0.4542,0.59694,0.725,0.74515,0.47312,1.21108,2.38371,1.62528,1.55012,0.000478762,0.000478762,0.000478762
74,258.891,0.49463,0.66415,0.41077,0.93928,0.68376,0.725,0.69663,0.4878,0.68376,0.725,0.6933,0.4796,1.15338,2.35433,1.51719,1.41499,0.000462259,0.000462259,0.000462259
75,263.68,0.51535,0.68294,0.39426,0.93473,0.63566,0.7307,0.72412,0.4964,0.63566,0.7307,0.70475,0.49714,1.11225,2.18623,1.44227,1.37638,0.000445756,0.000445756,0.000445756
76,268.501,0.47504,0.65934,0.3967,0.93052,0.72657,0.77368,0.78409,0.53045,0.72657,0.77368,0.75718,0.51836,1.06925,1.84255,1.17572,1.37335,0.000429253,0.000429253,0.000429253
77,273.26,0.47953,0.637,0.38026,0.9223,0.7418,0.8027,0.80309,0.54277,0.7418,0.8027,0.76463,0.55013,1.01437,1.78065,0.98556,1.34167,0.000412749,0.000412749,0.000412749
78,278.147,0.50327,0.6403,0.39141,0.94295,0.79245,0.75,0.76687,0.5411,0.76507,0.72666,0.74462,0.54864,1.0741,1.87677,0.99393,1.30359,0.000396246,0.000396246,0.000396246
79,282.901,0.51861,0.68054,0.42715,0.95678,0.79507,0.72027,0.74608,0.54068,0.80065,0.71487,0.73988,0.54957,1.07209,1.8735,0.98765,1.29763,0.000379743,0.000379743,0.000379743
80,287.755,0.51701,0.73201,0.41133,0.94362,0.74201,0.70327,0.75351,0.55789,0.74201,0.70327,0.75158,0.54294,1.00596,1.9278,0.97226,1.3283,0.000363239,0.000363239,0.000363239
81,292.426,0.46119,0.60664,0.35461,0.9104,0.70627,0.70242,0.71223,0.53111,0.70627,0.70242,0.71223,0.51652,0.98327,1.94092,0.9711,1.34098,0.000346736,0.000346736,0.000346736
82,297.357,0.44907,0.66364,0.37843,0.91016,0.7883,0.69054,0.75625,0.55315,0.7883,0.69054,0.73269,0.50898,1.05723,1.93909,0.95151,1.38545,0.000330233,0.000330233,0.000330233
83,302.201,0.47248,0.63831,0.38918,0.91892,0.78052,0.6915,0.74212,0.52008,0.78052,0.6915,0.74212,0.50428,1.09307,1.90656,1.00797,1.33692,0.000313729,0.000313729,0.000313729
84,307.207,0.47011,0.6139,0.37939,0.93479,0.68071,0.65578,0.73513,0.51653,0.68071,0.65578,0.71886,0.49685,1.11829,1.8772,1.29288,1.35775,0.000297226,0.000297226,0.000297226
85,312.171,0.45645,0.64158,0.36079,0.90255,0.6399,0.65,0.68586,0.49051,0.6399,0.65,0.67251,0.47615,1.0276,1.79966,1.4621,1.30704,0.000280723,0.000280723,0.000280723
86,317.273,0.47369,0.66034,0.36906,0.93993,0.66374,0.775,0.67724,0.49835,0.66374,0.775,0.66278,0.48648,0.88855,1.65282,1.4944,1.29619,0.00026422,0.00026422,0.00026422
87,322.402,0.46111,0.6338,0.37314,0.93459,0.63839,0.65,0.67381,0.49379,0.63839,0.65,0.66095,0.49746,0.91532,1.60955,1.508,1.31778,0.000247716,0.000247716,0.000247716
88,327.741,0.44955,0.64166,0.36266,0.92395,0.61875,0.775,0.63743,0.46159,0.61875,0.775,0.62483,0.46303,0.97025,1.62578,1.48767,1.34596,0.000231213,0.000231213,0.000231213
89,332.748,0.4458,0.64706,0.35415,0.92536,0.59175,0.7688,0.63307,0.45848,0.59175,0.7688,0.61878,0.45788,0.99686,1.66633,1.46888,1.35808,0.00021471,0.00021471,0.00021471
90,337.798,0.45051,0.60932,0.36131,0.91151,0.55607,0.86968,0.65937,0.49157,0.55607,0.86968,0.64439,0.49426,0.9941,1.68234,1.45482,1.38022,0.000198206,0.000198206,0.000198206
91,386.972,0.40276,0.58468,0.35617,0.89918,0.57019,0.8097,0.66551,0.49598,0.57019,0.8097,0.65178,0.50256,0.95804,1.68485,1.379,1.37422,0.000181703,0.000181703,0.000181703
92,390.301,0.39277,0.53459,0.35913,0.8965,0.66587,0.7891,0.72853,0.55998,0.66587,0.7891,0.71476,0.55648,0.91591,1.68802,1.22184,1.36622,0.0001652,0.0001652,0.0001652
93,393.533,0.37138,0.55706,0.32373,0.89129,0.68096,0.7917,0.75948,0.56161,0.68096,0.7917,0.74703,0.56375,0.9027,1.7082,1.14784,1.34486,0.000148696,0.000148696,0.000148696
94,396.727,0.39269,0.54649,0.33796,0.92713,0.66754,0.83241,0.75637,0.55342,0.66754,0.83241,0.74079,0.56386,0.91651,1.73153,1.06803,1.32502,0.000132193,0.000132193,0.000132193
95,399.918,0.36911,0.49586,0.345,0.88316,0.67151,0.866,0.76983,0.55267,0.67151,0.866,0.75217,0.5682,0.91547,1.72627,1.04695,1.31189,0.00011569,0.00011569,0.00011569
96,403.126,0.38382,0.47903,0.32353,0.90647,0.69912,0.86312,0.76173,0.53658,0.69912,0.86312,0.74061,0.55888,0.9299,1.72875,0.97365,1.32918,9.91865e-05,9.91865e-05,9.91865e-05
97,406.308,0.35035,0.47052,0.29855,0.8715,0.73133,0.85,0.76957,0.5448,0.73133,0.85,0.74517,0.55541,0.92216,1.74447,0.98174,1.32596,8.26832e-05,8.26832e-05,8.26832e-05
98,409.558,0.34836,0.45585,0.2933,0.86764,0.69415,0.84618,0.76589,0.56875,0.69442,0.84561,0.7395,0.56254,0.91528,1.75158,1.03073,1.33956,6.61799e-05,6.61799e-05,6.61799e-05
99,412.761,0.37091,0.46627,0.37047,0.90551,0.69178,0.84913,0.76642,0.56693,0.69229,0.8479,0.74038,0.56851,0.91577,1.77023,1.03805,1.34429,4.96766e-05,4.96766e-05,4.96766e-05
100,415.982,0.34502,0.47461,0.29957,0.88191,0.66556,0.875,0.73259,0.53456,0.66556,0.875,0.7081,0.53796,0.89936,1.76486,1.02722,1.34225,3.31733e-05,3.31733e-05,3.31733e-05
